"conversation_id","created_at","favorite_count","full_text","hashtags/0","hashtags/1","hashtags/2","hashtags/3","hashtags/4","hashtags/5","hashtags/6","hashtags/7","hashtags/8","hashtags/9","hashtags/10","id","is_quote_tweet","media/0/media_url","media/0/type","media/1/media_url","media/1/type","quoted_tweet/#sort_index","quoted_tweet/conversation_id","quoted_tweet/created_at","quoted_tweet/favorite_count","quoted_tweet/full_text","quoted_tweet/hashtags/0","quoted_tweet/hashtags/1","quoted_tweet/id","quoted_tweet/is_quote_tweet","quoted_tweet/media/0/media_url","quoted_tweet/media/0/type","quoted_tweet/reply_count","quoted_tweet/replying_to_tweet","quoted_tweet/retweet_count","quoted_tweet/url","quoted_tweet/urls/0/display_url","quoted_tweet/urls/0/expanded_url","quoted_tweet/urls/0/url","quoted_tweet/user_mentions/0/id_str","quoted_tweet/user_mentions/0/name","quoted_tweet/user_mentions/0/screen_name","quoted_tweet/view_count","reply_count","replying_to_tweet","retweet_count","startUrl","url","urls/0/display_url","urls/0/expanded_url","urls/0/url","urls/1/display_url","urls/1/expanded_url","urls/1/url","user_mentions/0/id_str","user_mentions/0/name","user_mentions/0/screen_name","user_mentions/1/id_str","user_mentions/1/name","user_mentions/1/screen_name","view_count"
"1635587127760113665","2023-03-14T10:38:58.000Z","0","-الجدير بالذكر هو ان نشاط صفقات رأس المال الجريء في مجال التجميل بلغ ذروته في عام 2021، في الولايات المتحدة كان هناك 126 صفقة رأسمالية في مجال التجميل بإجمالي 1.2 مليار دولار.

رابط المقال لتفاصيل اكثر👇🏻

https://t.co/wEjNl2OY23",,,,,,,,,,,,"1635591341668290560","false",,,,,,,,,,,,,,,,,,,,,,,,,,,"0","https://twitter.com/Ghaida_Haq/status/1635590127647961090","0","https://twitter.com/search?q=%D8%B1%D8%A3%D8%B3%D9%85%D8%A7%D9%84%D9%8A%D8%A9&src=typed_query&f=live","https://twitter.com/Ghaida_Haq/status/1635591341668290560","bloomberg.com/graphics/2023-…","https://www.bloomberg.com/graphics/2023-celebrity-beauty-brands-makeup-skincare/","https://t.co/wEjNl2OY23",,,,,,,,,,"10"
"1635537655394910208","2023-03-14T09:21:19.000Z","0","@talghanim هو لم يدعم مدراء البنك او  المستثمرين فقد قال نحن دولة رأسمالية ويتحملون المستثمر الربح والخسارة ، و المدراء سوف يحاسبون
اما ( المُدعين ) بالبنك فلا ذنب لهم وقال الحكومة الأمريكية تضمن أن اموالهم لن تتبخر
يعني محاسبة الرؤوس في البنك وتحمل المستثمرين تباعات استثمارهم في بنك دايخ .",,,,,,,,,,,,"1635571802033233920","false",,,,,,,,,,,,,,,,,,,,,,,,,,,"0","https://twitter.com/talghanim/status/1635537655394910208","1","https://twitter.com/search?q=%D8%B1%D8%A3%D8%B3%D9%85%D8%A7%D9%84%D9%8A%D8%A9&src=typed_query&f=live","https://twitter.com/N_TMBKQSL/status/1635571802033233920",,,,,,,"228128384","طلال فهد ثنيان الغانم","talghanim",,,,"267"
"1635541991780937729","2023-03-14T07:22:52.000Z","0","بالمناسبة مستحيل أتعالج في مستشفى خاص الا اذا كنت مغصوب ، لكن بأرادتي مستحيل ليس لقلة المال مثلا لا والله انما لأنها رأسمالية ماعندهم مشكلة يزرعوا فيك أمراض العالم كلها بس عشان ترجع تتعالج عندهم ، ممكن بعضكم يشوفها مبالغه لكن صدقوني الموضوع حقيقة",,,,,,,,,,,,"1635541991780937729","false",,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,"0","https://twitter.com/search?q=%D8%B1%D8%A3%D8%B3%D9%85%D8%A7%D9%84%D9%8A%D8%A9&src=typed_query&f=live","https://twitter.com/_j_2_7/status/1635541991780937729",,,,,,,,,,,,,"54"
"1635535778338988033","2023-03-14T06:58:26.000Z","3","رأسماليه المال عنده رأس",,,,,,,,,,,,"1635535841601650689","false",,,,,,,,,,,,,,,,,,,,,,,,,,,"1","https://twitter.com/SewerSaintt/status/1635535778338988033","0","https://twitter.com/search?q=%D8%B1%D8%A3%D8%B3%D9%85%D8%A7%D9%84%D9%8A%D8%A9&src=typed_query&f=live","https://twitter.com/SewerSaintt/status/1635535841601650689",,,,,,,,,,,,,"103"
"1635363898751844352","2023-03-14T06:37:55.000Z","0","@amhfarraj من وجه نظري هي بداية سقوط رأسمالية",,,,,,,,,,,,"1635530680636506112","false",,,,,,,,,,,,,,,,,,,,,,,,,,,"0","https://twitter.com/amhfarraj/status/1635363898751844352","0","https://twitter.com/search?q=%D8%B1%D8%A3%D8%B3%D9%85%D8%A7%D9%84%D9%8A%D8%A9&src=typed_query&f=live","https://twitter.com/mhmdalrwahy121/status/1635530680636506112",,,,,,,"707948410654089216","أحمد الفراج","amhfarraj",,,,"670"
"1634287829550354451","2023-03-14T06:35:56.000Z","4","@Saleh_Abri_OMN شكرًا مهندسنا العزيز على المعلومات القيمة؛
ابشرك البنك الثالث لحقهم، سيجناتشر بنك 💸
(مع انه مرتبط ببنك في الكيان المحتل)
انظمة راسمالية هشة، والبقية تتبع 
يومكم سلامة وخير 🌿 https://t.co/Jl3mdhHCBn",,,,,,,,,,,,"1635530181069643778","false","https://pbs.twimg.com/media/FrKSBsaX0AIOodJ.jpg","photo",,,,,,,,,,,,,,,,,,,,,,,,,"1","https://twitter.com/Saleh_Abri_OMN/status/1634287829550354451","1","https://twitter.com/search?q=%D8%B1%D8%A3%D8%B3%D9%85%D8%A7%D9%84%D9%8A%D8%A9&src=typed_query&f=live","https://twitter.com/alyahyai/status/1635530181069643778",,,,,,,"1331942682","صالح بن عيسىٰ العَبْرِي","Saleh_Abri_OMN",,,,"310"
"1635507924243030016","2023-03-14T05:07:30.000Z","4","صباح الخير .. 

لو صحيح سيكون فيه عرض 50 مليون للوكاتيلي من الدوري الانجليزي حاأرجع لنفس رأي في بداية الموسم اتمني بيعه ، من 23 مليون الي 50 مليون ارباح رأسمالية بنسبة 104 % الاحمق من سيرفض بس وبوضع اليوفي الحالي من الناحية المالية ..",,,,,,,,,,,,"1635507924243030016","false",,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,"1","https://twitter.com/search?q=%D8%B1%D8%A3%D8%B3%D9%85%D8%A7%D9%84%D9%8A%D8%A9&src=typed_query&f=live","https://twitter.com/Duebivic77/status/1635507924243030016",,,,,,,,,,,,,"1255"
"1635505074519539718","2023-03-14T05:06:09.000Z","0","@WrdtM7abh امريكا ليست دولة محترمة كباقي الدول انما هي شركة رأسمالية يديرها من يملك البنك الفدرالي وال CAI والشعب موظفين في هذه الشركة ومن لا يعمل يتشرد في الشوارع",,,,,,,,,,,,"1635507584881836032","false",,,,,,,,,,,,,,,,,,,,,,,,,,,"0","https://twitter.com/WrdtM7abh/status/1635505561109143552","0","https://twitter.com/search?q=%D8%B1%D8%A3%D8%B3%D9%85%D8%A7%D9%84%D9%8A%D8%A9&src=typed_query&f=live","https://twitter.com/truth_793/status/1635507584881836032",,,,,,,"1580672043023990784","Wrdt m7abh","WrdtM7abh",,,,"35"
"1635414914818019328","2023-03-14T04:00:37.000Z","0","@ab__ax قومي اشتراكي (بشكل أدقّ)، مكس غريب جسّده عبدالناصر، والرجل له إيجابياته وله سلبياته.. ثم جا بعده السادات ودعث بالدنيا يبيها رأسمالية ونتيجة لذلك فتح الدنيا للجماعات الدينية المتطرفة عشان يجاكر بقية عبدالناصر وآخر شي طلعوا لنا الاخوان كنتيجة لهذا..
كلهم الاثنين 7مير من الآخر",,,,,,,,,,,,"1635491092610138112","false",,,,,,,,,,,,,,,,,,,,,,,,,,,"0","https://twitter.com/ab__ax/status/1635423337919700993","0","https://twitter.com/search?q=%D8%B1%D8%A3%D8%B3%D9%85%D8%A7%D9%84%D9%8A%D8%A9&src=typed_query&f=live","https://twitter.com/Atldit/status/1635491092610138112",,,,,,,"883207248675303424","إلياس","ab__ax",,,,"37"
"1635421576756883456","2023-03-13T23:24:23.000Z","3","هههههههههههههههه 
بتذكر إنه رغم إني بدافع عن الحقوق المرأة من حين إلى آخر إلا إنه برفض فكرة النسوية وشايفها فكرة غبية، والمطلع على بدايتها بيعرف بآنها حركة سياسية رأسمالية أكثر من ما هي حركة حقوقية.",,,,,,,,,,,,"1635421576756883456","true",,,,,"1634537606988943362","1634537606988943362","2023-03-11T12:51:48.000Z","101","اتقرف من النسوية الي تروح عند  ترانس ومن وتلقي هراء زي "" انت لست امراة حقيقية لانك لا تستطيعين الانجاب "" 
الي تقول كلام زي هذا وتسمي نفسها نسوية ، انتِ مو نسوية ، نعم انتِ مو نسوية 
لانك تحصرين كونك امرأة بقدرتك على الانجاب
نفس الذكوريين هذي نظرتهم
المرأة : وعاء اطفال",,,"1634537606988943362","false",,,"28",,"16","https://twitter.com/deer_ange/status/1634537606988943362",,,,,,,"117155","3",,"0","https://twitter.com/search?q=%D8%B1%D8%A3%D8%B3%D9%85%D8%A7%D9%84%D9%8A%D8%A9&src=typed_query&f=live","https://twitter.com/berdaweel/status/1635421576756883456",,,,,,,,,,,,,"374"
